producto_id,nombre,precio,categoria,descripcion,sku,stock,fecha_creacion,rating,reviews
PROD-001,Sony WH-1000XM4 Headphones,£329.99,audio,Nintendo Switch OLED - <i>Consola de videojuegos</i>,SKU-8888,81,2025-08-31 14:32:56,4.0,716
PROD-002,Samsung Galaxy S21 Ultra,£279.99,Tablets,PlayStation 5 - <span>Consola de nueva generación</span>,SKU-6930,56,2024-12-12 14:32:56,4.3,16
PROD-003,"Samsung 4K Smart TV 55""",299.99 USD,computers,"<div>MacBook Pro 16"" con chip <b>M1 Pro</b></div>",SKU-7549,82,2025-01-18 14:32:56,3.7,761
PROD-004,"MacBook Pro 16"" M1 Pro",£349.99,tablets,<p>El <strong>iPhone 13 Pro Max</strong> con <em>256GB</em> de almacenamiento</p>,SKU-1825,49,2025-06-10 14:32:56,3.8,505
PROD-005,Dell XPS 13 Laptop,"$1,199.00",Consolas,PlayStation 5 - <span>Consola de nueva generación</span>,SKU-8653,53,2025-06-23 14:32:56,4.0,710
PROD-006,iPhone 13 Pro Max 256GB,$349.99,Electronics,"<div>MacBook Pro 16"" con chip <b>M1 Pro</b></div>",SKU-2697,66,2024-09-29 14:32:56,4.8,604
PROD-007,"MacBook Pro 16"" M1 Pro",399.00 EUR,Electrónica,"<div>MacBook Pro 16"" con chip <b>M1 Pro</b></div>",SKU-7843,92,2025-07-06 14:32:56,4.1,515
PROD-008,iPhone 13 Pro Max 256GB,"1,099.00€",Electrónica,Samsung Galaxy S21 Ultra con cámara de 108MP,SKU-6497,28,2025-05-22 14:32:56,4.2,344
PROD-009,Samsung Galaxy S21 Ultra,"$2,099.00",Electrónica,<p>El <strong>iPhone 13 Pro Max</strong> con <em>256GB</em> de almacenamiento</p>,SKU-3994,97,2024-10-30 14:32:56,3.6,548
PROD-010,"MacBook Pro 16"" M1 Pro",349.99 USD,Audio,<p>El <strong>iPhone 13 Pro Max</strong> con <em>256GB</em> de almacenamiento</p>,SKU-9404,98,2025-09-06 14:32:56,4.1,709
PROD-011,"MacBook Pro 16"" M1 Pro","1,799.99 USD",Headphones,Sony WH-1000XM4 - <span>Auriculares inalámbricos</span>,SKU-4628,20,2025-02-06 14:32:56,4.5,796
PROD-012,PlayStation 5 Console,"1,099.00€",Smartphones,PlayStation 5 - <span>Consola de nueva generación</span>,SKU-9005,23,2024-09-10 14:32:56,3.7,783
PROD-013,Dell XPS 13 Laptop,"2,299.00 EUR",tech,<p>El <strong>iPhone 13 Pro Max</strong> con <em>256GB</em> de almacenamiento</p>,SKU-5293,49,2024-12-12 14:32:56,3.1,540
PROD-014,"Samsung 4K Smart TV 55""",£329.99,laptops,PlayStation 5 - <span>Consola de nueva generación</span>,SKU-2344,10,2025-06-11 14:32:56,4.2,202
PROD-015,AirPods Pro 2nd Gen,$399.99,Audio,Dell XPS 13 - Laptop ultradelgado,SKU-8596,16,2025-06-22 14:32:56,4.4,184
PROD-016,Sony WH-1000XM4 Headphones,"$1,199.00",electronics,Samsung Galaxy S21 Ultra con cámara de 108MP,SKU-8568,25,2025-04-17 14:32:56,3.1,985
